255	255	255	192
174	128	7	122
178	123	11	142
177	123	10	33
175	127	5	14
172	126	13	119
176	126	12	82
174	120	3	29
175	122	10	51
172	122	6	171
177	120	7	35
178	124	5	4
177	120	4	12
178	127	10	83
177	121	14	246
177	128	13	129
177	123	10	195
171	128	4	95
173	128	14	188
178	120	4	29
172	122	3	196
175	126	13	56
177	126	14	239
179	128	14	248
178	122	9	12
175	126	14	67
176	124	3	165
172	122	4	165
177	120	7	133
178	126	8	33
177	122	6	146
171	125	8	246
173	126	6	177
173	120	5	218
177	127	5	206
172	128	11	8
171	121	9	128
175	121	10	127
175	124	10	75
178	127	14	193
177	123	12	80
178	127	14	44
172	120	11	153
178	122	12	113
179	128	7	194
177	124	5	95
173	128	7	145
179	123	4	31
172	128	7	148
175	128	6	43
172	126	10	43
174	122	12	253
171	121	10	65
171	121	14	24
176	122	8	252
177	121	5	100
174	122	14	162
175	125	15	87
172	122	10	194
177	124	10	176
177	124	3	130
175	127	12	129
171	121	15	91
179	124	7	128
179	126	7	254
178	123	4	168
171	124	7	182
175	123	15	121
174	124	10	1
176	124	12	137
173	126	12	169
177	126	10	154
174	127	3	2
177	128	7	193
179	128	7	53
173	128	3	21
179	128	3	45
172	125	8	94
179	122	13	85
177	124	9	19
171	125	4	177
171	124	14	41
175	122	7	206
176	122	11	140
172	121	14	205
177	127	13	184
171	123	7	255
179	120	8	40
172	125	13	80
176	121	11	26
171	126	8	104
176	122	5	248
174	126	11	202
178	120	8	5
172	126	11	76
173	120	5	73
171	120	15	69
177	121	13	155
176	128	12	89
178	125	9	130
175	128	7	169
174	125	5	5
171	125	15	184
179	120	14	173
171	126	8	175
173	124	6	180
172	123	14	46
179	128	10	66
179	124	8	114
174	122	9	102
175	121	11	53
172	122	10	202
171	128	14	164
174	125	15	181
175	127	9	157
177	128	7	226
175	121	6	88
172	123	14	103
177	124	11	68
179	122	3	10
178	123	11	57
178	121	7	188
177	126	12	87
174	126	5	70
174	125	9	20
179	120	4	34
175	125	12	168
179	126	11	228
171	126	4	25
176	121	11	64
171	128	15	138
175	126	6	92
171	120	5	6
178	122	11	35
176	124	5	23
176	123	10	137
172	128	13	10
172	123	9	82
172	128	7	40
178	128	4	21
171	121	13	60
174	120	10	77
176	123	10	231
175	128	9	53
174	122	8	17
177	128	5	82
178	128	8	107
178	128	3	104
177	128	8	124
175	125	11	125
174	122	9	72
172	121	15	95
174	123	4	135
178	122	11	86
171	128	12	34
172	127	6	236
178	124	12	156
178	122	8	40
175	128	8	120
172	122	3	36
172	125	10	103
176	120	7	174
173	127	3	189
178	125	7	28
173	128	10	179
175	121	5	180
179	123	12	26
176	127	14	98
177	125	9	50
174	120	5	141
173	123	11	104
176	123	6	221
171	121	11	160
178	123	14	11
172	120	7	174
177	122	3	253
172	127	11	35
175	128	5	188
176	126	15	111
171	122	12	223
178	123	6	124
172	125	8	192
172	122	15	221
172	125	6	188
172	124	8	72
178	128	7	147
176	127	6	36
174	121	4	4
173	122	7	40
174	128	13	164
177	120	5	51
172	127	8	31
171	120	8	20
174	123	7	111
178	125	9	74
177	122	12	94
174	123	6	214
175	122	8	232
173	124	12	55
176	127	5	255
178	123	13	246
172	123	11	241
176	126	10	157
178	127	7	241
171	121	14	145
179	122	10	227
171	125	8	125
175	127	3	66
175	125	15	206
178	124	14	86
172	123	15	193
171	121	14	76
176	122	3	59
171	123	3	52
178	123	8	7
178	126	10	220
177	122	11	101
175	121	14	29
176	126	9	25
172	125	9	113
178	128	4	51
176	122	14	226
179	123	14	63
176	125	7	233
177	120	5	14
174	122	4	65
172	124	13	220
178	120	14	124
174	125	13	134
175	127	11	96
178	123	3	102
176	125	3	18
174	123	5	136
176	124	13	136
178	125	3	188
172	124	7	69
176	126	13	163
172	128	8	125
173	127	4	252
175	128	7	224
174	126	3	60
178	127	10	125
178	120	6	177
175	120	4	52
179	122	3	1
176	128	10	184
177	125	12	83
176	125	6	135
176	128	12	159
171	122	9	142
172	120	6	65
175	123	6	11
177	122	3	3
174	121	6	154
172	128	11	135
173	121	15	79
176	121	7	9
174	127	3	81
171	126	10	115
178	123	7	128
173	120	14	44
175	124	10	183
172	127	5	147
179	120	3	192
176	121	9	76
175	128	7	213
178	127	9	141
174	124	8	254
177	124	11	255
173	128	12	28
174	121	13	226
176	127	13	199
176	128	4	17
178	123	3	20
173	125	6	3
172	123	4	72
